cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
623415197,0.0,0.0,1.01723651,13.987002,3.91636055,0.692285956,0.378638033,0.0084769709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623434306,0.0,0.21298577,6.34188985,8.34618136,3.33306843,0.7104824,0.46411825,0.29722642,0.26066916,0.03337837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626153003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11312993,8.1316421,10.11998629,1.27185465,0.36338704,0.0,0.0,0.0,0.0
627881581,0.0,0.0,0.11961268,0.63793431,2.53464971,2.21188532,5.42623885,7.09891779,1.87488134,0.09588001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637846989,0.0,0.34380557,9.57518277,6.80497925,2.36712112,0.75874333,0.15016795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638212024,0.28497409,8.09153713,8.0656304,2.69430052,0.86355786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639004612,0.0,0.0,0.0,0.0,0.0,0.2962963,6.60208927,6.35137702,3.47958215,2.48812915,0.60018993,0.18233618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639013022,0.0,0.0,3.48062207,9.01505801,5.79116268,1.71315725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639674270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14430563,6.9925765,7.87615426,3.98696361,0.0
639708328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30519481,5.94155844,7.47113997,3.9033189,0.37878788,0.0,0.0,0.0
639797308,0.0,0.0,0.0,0.73863337,8.43580423,8.49902534,1.87872083,0.16332122,0.20652231,0.07797271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
