,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
20190619_sample_3,0.04397877515852112,76.0318158815304,0.8815918773854305,0.9955301540115579,0.02541030822132423,-34.54749348262947,0.633333333333333,0,-11.604323362310716,0.0,0.0005678787878787875,1.442446043165468,1.0465050775495477,0.17392304392061317,,14.033333333333328,26,,0,-69.81321506160829,180.0,,0.7333333333333333,1.3909104215648862
20190619_sample_4,0.06528576743346848,74.59550847609827,0.8733305890817654,0.9938764401015135,0.03142736883842913,-39.037151883045766,0.5999999999999894,0,-9.965722759564784,0.0,0.001613401686033267,1.4325259515570936,1.0659974204061506,0.2507185791866013,,5.8666666666666725,20,,0,-60.57768988816275,140.0,,0.8181818181818182,1.4450464899740298
20190619_sample_5,0.059205750987877476,75.2839855849742,0.8820659555242333,0.9944018069662661,0.029934247539940975,-28.262186795473077,0.6000000000000033,0,-9.51085612177851,0.0,0.00033762101343694266,1.3187919463087232,1.0279648283564362,0.14382361108294928,,9.566666666666668,30,,0,-64.4080006978992,220.0,,0.7647058823529411,1.3939368967328578
20190619_sample_6,0.7920909523864247,72.17334210872653,0.6134920554219613,1.0002487586577917,0.11419099967664337,-31.66802972555159,1.166666666666663,0,-2.384779974818244,0.7033492822966506,0.0061058201984821965,1.949820788530467,1.2772628897621923,0.37346564799739884,,6.966666666666662,11,,0,-66.0389358682765,240.0,,0.5714285714285714,3.0163992259801247
20190226_sample_1,0.03713193766804552,76.4692475398383,0.9254635653897589,0.996631655712064,0.023326484597812638,-40.43176397681232,0.6666666666666626,0,-12.790344655513806,0.0,3.497535492565123e-05,1.1597444089456865,1.0083689969999745,0.05314957004280125,,7.699999999999998,40,,0,-73.08185255858633,260.0,,0.9047619047619048,1.385033573453833
20190226_sample_9,0.034222994891308395,69.38380437592637,0.9278045878638578,0.9966566104144401,0.023492543389911236,-43.73067493240027,0.5666666666666598,0,-13.661752765377486,0.0,0.00025448091161531087,1.210031347962383,1.0159447154637682,0.1347003057330439,,11.53333333333334,35,,0,-72.38597010696928,160.0,,0.75,1.1835303449077772
20180717_sample_3,0.029435771448631753,75.49103349447262,0.9306294382894438,0.9969750390357411,0.02076868825651687,-41.22694954276085,0.6000000000000033,0,-12.36732304096222,0.0,3.3200716564630095e-05,1.1385135135135107,1.0087771001900052,0.052870819218613925,,8.999999999999995,42,,0,-71.62601706882317,360.0,,1.0,1.2463177564167425
20180717_sample_4,0.05258189550541659,68.25387726227444,0.9201112076528623,0.9968464862654149,0.02916778353096871,-46.14079619447383,0.5000000000000004,0,-18.196495870749224,0.0,9.94252952172529e-05,1.2040816326530615,1.0158476942108257,0.09033076283629982,,5.033333333333334,41,,0,-74.45590863914953,260.0,,0.8636363636363636,1.0539661862703702
20190610_sample_10,0.13805865739581874,76.39068923890592,0.8189398254656194,0.9930215862863125,0.04749591999908332,-37.7018451690674,0.7999999999999952,0,-5.69994747638701,0.0,0.00035058613227961186,1.226950354609929,1.0291409868214276,0.14921175878372261,,12.033333333333326,31,,0,-71.58779177938898,140.0,,0.8235294117647058,1.6965876614187567
20190610_sample_12,0.037980139194411684,69.7040644784768,0.8795697814946267,0.9960619214046784,0.02449352156705852,-24.26352972785632,0.7000000000000062,0,-11.475782220562305,0.0,0.00043361472694613585,1.3508196721311483,1.040177216305368,0.14781460324335646,,20.066666666666663,25,,0,-62.74983160487479,160.0,,0.9230769230769231,1.4329838949972795
20190610_sample_16,0.4989510315319481,77.00331757465972,0.6700355816012921,0.9935137957001803,0.08919410139150408,-31.125030169884337,1.0000000000000009,0,-5.226489156484629,0.0,0.002064659710471894,1.5306122448979609,1.10731654575471,0.26432941751442623,,9.533333333333339,17,,0,-69.3823897652328,240.0,,0.7,2.496565884076312
20190610_sample_1,37.11580030297556,131.33005239069456,0.3222771241534357,0.3743028488497875,0.7621319796720403,-61.54493180414038,2.066666666666675,0,63.05914560410502,0.0,0.0014818548387096862,2.4685314685314763,2.4685314685314763,0.42338709677419484,,-0.43333333333332724,3,,0,-62.65930591358079,820.0,,,1.9392564229260714
20190610_sample_4,0.11113888595730786,72.96375868221119,0.8126115956332512,0.9933106496659939,0.042395576529744905,-38.03501650691029,0.8666666666666684,0,-9.584812447428739,0.0,0.0005756374768002671,1.7554744525547412,1.056168444833429,0.16288839860266868,,17.5,23,,0,-76.29792520817783,100.0,,0.9166666666666666,1.6684185968540863
20190610_sample_8,0.1108160547855838,62.90815925846476,0.8233606105051655,0.992208004759611,0.04620360732480953,-23.407188865045697,0.899999999999998,0,-9.525066552062839,0.0,0.0003785558603035289,1.542662116040956,1.0415392588767982,0.13952668973875448,,11.56666666666667,26,,0,-70.10567656573322,200.0,,0.8571428571428571,1.6535254121847844
20180925_sample_9,0.03168604829987336,72.93548621237278,0.9266192763457518,0.9974833989091556,0.021903275361401558,-36.64483502507199,0.5666666666666736,0,-17.253263543049606,0.0,4.257519582217063e-05,1.0761245674740487,1.006889575042102,0.060555874420680014,,6.000000000000005,43,,0,-67.9528454148935,260.0,,0.9545454545454546,1.1902282256261032
20190715_sample_11,1.4942145525017203,105.3839021672805,0.5375076469522027,0.9794359712140279,0.15006498096759927,-65.03895794351895,1.80000000000001,0,35.31374658147494,0.0,0.0038293626265340835,1.9266862170087984,1.145192287053689,0.35141802626135593,,-0.2333333333333354,17,,0,-60.76436543593365,500.0,,0.7777777777777778,2.372514611492288
20190715_sample_1,0.633557238813845,73.64701665937895,0.6731601975210553,0.9841341687181379,0.10196043360897779,-23.701811209320983,1.166666666666663,0,-6.55168481171135,0.0,0.014004523736241186,2.947019867549669,1.584109952736437,0.4757063712010928,,10.099999999999998,8,,0,-90.9344062635468,480.0,,0.6,2.8146446025898744
20190715_sample_4,0.6754416705150798,76.84960961341856,0.6396012569909127,0.9895050250034859,0.10512957675393371,-29.278358444571456,1.2000000000000066,0,-3.8862588504950644,0.0,0.005676493482908633,2.491467576791807,1.257621159423027,0.35716990133553905,,8.7,12,,0,-82.41588038661413,420.0,,0.7142857142857143,3.0758763664854305
20190422_sample_1,0.12307704148175437,74.06307136019066,0.8336822553378604,0.9933417317763366,0.045527263722931186,-40.67167391379668,0.7000000000000062,0,-8.328525970379573,0.0,7.271666401448839e-05,1.2467105263157898,1.0135504958777863,0.07006855372799804,,2.4666666666666726,34,,0,-59.59584940142102,260.0,,1.0,1.4044485030009886
20190422_sample_4,0.06765684539246673,76.91864669322968,0.925684430007963,0.9945479693986802,0.031532907502063535,-38.29381242394447,0.5999999999999894,0,-13.640018800894417,0.0,0.00023714200831847826,1.1601307189542485,1.0243219624670092,0.12254565066286718,,10.999999999999996,31,,0,-72.94893032602138,260.0,,0.8235294117647058,1.2889461635157307
20181009_sample_3,1.6611537998675052,79.06867749989027,0.8207193688708351,0.973498476880646,0.1839880320505405,-33.24582427740092,1.0000000000000009,0,-9.785854568084126,0.0,0.002325169896418606,1.1908127208480546,1.0687128286200656,0.3102400084043216,,7.400000000000004,20,,0,-59.07169600658947,180.0,,0.6666666666666666,1.9292900663305603
20181009_sample_5,0.5319950069410838,75.71972378840049,0.8518110036540755,0.9841231236923822,0.0969626458159676,-29.736843891441787,0.8333333333333248,0,-14.329061843454873,0.0,0.0012232506553087024,1.2602739726027397,1.0506796388281114,0.23994363247707617,,7.300000000000001,23,,0,-67.56510824544561,300.0,,0.6428571428571429,1.6381988399817353
20181009_sample_7,1.506119741737502,81.8855222314593,0.8048392941882009,0.9765747353291842,0.171088530928328,-33.361149951815584,0.9333333333333277,0,-10.923677434523924,0.0,0.001845077724530911,1.1241610738255021,1.058115923210189,0.2813933567244959,,7.699999999999998,21,,0,-55.995584978204626,160.0,,0.6153846153846154,1.784220553019984
20190218_sample_3,0.4697666218970116,85.48127363125485,0.8456265912035942,0.9836309252412183,0.08519819759448707,-39.97473046183586,0.8333333333333387,0,-7.76514535148938,0.0,0.0018892332941754634,1.2225705329153593,1.0720793918611335,0.26905306836731624,,12.899999999999995,19,,0,-60.58226202345556,100.0,,0.7272727272727273,1.7424093517768724
20190218_sample_4,0.5010397633797222,77.53418385982505,0.8496818010770603,0.98506720995787,0.09334657561856377,-29.227096587419428,0.8666666666666684,0,-10.956546912590749,0.0,0.0012715186593639626,1.1584158415841619,1.0521174798174502,0.2397435840828034,,15.200000000000005,22,,0,-68.239634198861,220.0,,0.6923076923076923,2.1007278567900727
20190506_sample_1,0.7800409730561819,80.83782531321043,0.7522263075505119,0.9789852512022054,0.12277344128666554,-35.909300670027704,0.8666666666666545,0,-5.164420853058523,0.0,0.0007636578776518868,1.1774744027303758,1.0377757100402045,0.2013521445784955,,9.300000000000002,27,,0,-58.3410672808273,80.0,,0.8,2.0371602617810844
