,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
639893239,0.04001687984266946,35.85416654745736,1.0113306960239357,0.9954469927775551,0.034449543464811855,-37.22916666666665,0.5333333333333301,0.0,-10.968751271565772,0.0,0.0009019560619393909,1.3333333333333355,1.0503556660127773,0.22529131561409263,,17.266666666666666,28,,0,-71.99374541388617,130.0,,0.75,2.048820599491607
639962984,0.10965385324652964,52.95833762486738,1.1313925785944092,0.9993541908959019,0.04535456293214463,-7.677083810170419,0.3666666666666679,0.0,-24.177085399627742,0.0,0.0003455110513528174,1.1383812010443841,1.0229126805784117,0.1380994104867521,,22.63333333333334,27,,0,-50.11899547873603,239.99998,,0.9285714285714286,1.4302042503415395
640061596,0.6510060454077246,76.75,0.9283388616207751,0.9562334993332873,0.09996984512955105,-41.25,0.8333333333333248,0.0,-13.906253814697138,0.0,0.008175354633731598,1.129932627526467,1.2665015221913976,0.34428348541627957,,38.39999999999999,7,,0,-69.61977417670356,119.99999,,0.75,3.302837764123199
640111844,0.2764791603448807,60.104166666666664,0.9856153041899103,0.9902813822898191,0.07240112246728232,-37.572916666666664,0.43333333333332724,0.0,-18.885420481363937,0.0,0.0009550678701228606,1.2433035714285727,1.0398511763712015,0.20729668427276973,,12.13333333333333,22,,0,-63.77699190648397,170.0,,0.6923076923076923,1.673823533715601
640280740,0.3372097630926853,66.38541984558087,0.9802290924264301,0.9929162540887679,0.07622406616120957,-36.885417938232365,0.5000000000000004,0.0,-13.3333358764649,0.0,0.04375747999810635,0.9769230769230784,1.3075363994507565,1.057657934649098,,20.033333333333335,13,,0,-69.95696160719129,170.0,,0.3,3.0410791679605946
642124659,0.013718703099989403,60.30208524068197,1.0126101644207344,1.0026804343255016,0.01496899818758013,-37.302083333333336,0.7333333333333358,0.0,-9.875003814697266,0.0,0.0002898158200483771,1.2598187311178237,1.0359134294641599,0.08172626840160603,,21.733333333333327,12,,0,-78.80697218577068,239.99998,,1.0,2.974775065812563
643021973,0.26643856654807124,65.89583524068188,0.8525134408797981,0.9769882649776077,0.06968910080140157,-47.9375,0.4666666666666569,0.0,-2.125,0.0,0.0010191403797865665,1.2050209205020939,1.1374277463971638,0.26994972781275267,,7.199999999999998,10,,0,-72.6386975241767,210.0,,0.0,2.841534363141409
643536919,0.44378289941286453,78.3750012715661,0.8531366561713302,0.9215052391407673,0.07935340945655647,-33.55208333333319,0.5666666666666598,0.0,-7.020834604899235,0.0,0.00015982552800734707,1.3881578947368434,1.3881578947368434,0.16253443526170844,,253.13333333333333,3,,0,-62.05439851718479,29.999998,,,2.932021738183857
643727497,1.1889249711412535,65.43750254313152,0.9336198785802674,0.9805775010716856,0.15593161314481713,-34.44791793823242,0.7333333333333358,0.0,-13.718751271565779,0.0,0.031150777526962613,1.1153846153846168,1.602188446097796,0.8894239990375506,,8.366666666666662,13,,0,-54.83561719470555,100.0,,0.8571428571428571,2.5534819543770393
643754730,0.2939225766551773,53.479169845581225,1.035255135794831,0.9752934476320329,0.07801540493826016,-31.520835240681965,0.6000000000000033,0.0,-14.187498092651385,0.0,0.008802582069195283,1.2042007001166863,1.2263797259818574,0.36704710803303575,,21.33333333333333,8,,0,-60.5641348982917,119.99999,,0.6,2.2412851016654387
644571405,0.10496233687538907,56.46875317891439,0.9310090540655851,0.9927006219321226,0.045806177098983526,-34.75000127156576,0.33333333333333826,0.0,-17.916669209798172,0.0,3.6580488454116244e-05,0.9795918367346944,1.0058439545230262,0.06619495015427747,,5.4666666666666615,21,,0,-60.799350112915036,260.0,,0.0,1.4870961577132455
644920227,1.4552524977544294,80.1875038146971,0.8489217891992953,0.9490902232985569,0.15454254578911686,-38.99999999999983,0.3999999999999976,0.0,-7.875003814697436,0.0,0.009321433904827552,1.2990196078431437,1.4752448094331938,0.6585340720336313,,23.8,7,,0,-70.48349941168891,90.0,,0.0,3.0903866104107593
644994103,0.004079931349694201,49.354166666666664,0.994512529803911,1.0005941815993,0.0091465357319936,-33.354166666666664,0.8333333333333387,0.0,-10.531253814697209,0.0,0.0007530949389578424,1.3393626184323861,1.0676668186519647,0.11731364080222392,,24.36666666666666,9,,0,-72.5346485010783,210.0,,0.8,3.3933660130768226
645012440,0.6357492534818785,64.15625190734863,0.935054443427124,0.9848380712207967,0.11552309179761332,-39.71875,0.4666666666666708,0.0,-11.291670481363951,0.0,0.0010713912862205556,1.0896551724137948,1.0437765540717414,0.23629753980993767,,4.633333333333336,26,,0,-51.60183235380385,100.0,,0.7333333333333333,1.9834509081532672
645057881,0.6416586952183114,70.97916857401529,0.9197241264755502,0.9841361291143517,0.106371558371253,-41.91666666666665,0.5666666666666736,0.0,-10.16666793823245,0.0,0.0060161789872063805,1.4644670050761404,1.1604598744125891,0.4004647832282132,,17.266666666666666,13,,0,-67.4466209318373,140.0,,0.625,1.8219664633714228
