cell id,normalized depth,axon branch points,axon width,axon height,axon robust width,axon robust height,axon x-bias,axon z-bias,axon tips,axon total length,axon max path distance to soma,axon max branch order,axon max path angle,axon median path angle,axon max segment length,axon log max tortuosity,axon log min tortuosity,axon log median tortuosity,axon max branch angle,axon min branch angle,axon mean branch angle,axon above soma,soma radius,mean initial segment radius,axon mean neurite radius,axon max Euclidean dist,axon first bifurcation moment,axon bifurcation standard deviation,dendrite branch points,dendrite width,dendrite height,dendrite robust width,dendrite robust height,dendrite x-bias,dendrite z-bias,dendrite tips,dendrite total length,dendrite max path distance to soma,dendrite max branch order,dendrite max path angle,dendrite median path angle,dendrite max segment length,dendrite log max tortuosity,dendrite log min tortuosity,dendrite log median tortuosity,dendrite max branch angle,dendrite min branch angle,dendrite mean branch angle,dendrite above soma,dendrite mean neurite radius,dendrite max Euclidean dist,dendrite first bifurcation moment,dendrite bifurcation standard deviation,stems,stems exiting up,stems exiting down,stems exiting to the sides,Log1p fraction of axon above dendrite,Log1p fraction of axon below dendrite,Log1p fraction of dendrite above axon,Log1p fraction of dendrite below axon,EMD axon dendrite
20190130_sample_17,0.5062644829346844,113,741.9100000000001,1069.93,531.5674999999999,703.2209999999998,139.05,266.55,120,15005.499395628289,1001.2906050161284,16,71.03103684828532,9.234030710506294,628.6096960545708,1.3895032054956868,0.0062320032882634,0.2442603271939974,170.5720863554507,11.645859333669948,77.04594451626463,0.8466884944568901,12.985165120860533,0.295,0.050793991416309,671.6750483678845,100.45407079646016,112.732623381961,13,356.09000000000003,445.52,314.24799999999993,397.5100000000001,58.54999999999998,-148.03999999999996,16,2695.4943934483804,386.25522801565023,4,60.69818325289537,10.753187179266952,277.7076924260909,0.3539399689568006,0.0419574552804268,0.1756380805932169,91.81375147802994,19.104117834691586,53.80752545050268,0.4943295530353569,0.57,321.603734586525,-18.33923076923077,66.14156210636261,4,0.5,0.0,0.5,0.0,0.0,0.0,0.251314428280906,0.4285714285714274
20190130_sample_18,0.5141019122137308,57,424.74,690.54,238.175,558.87,57.53999999999999,484.24,60,8342.615976361729,958.7706839725676,16,73.3021272280552,8.479925017080674,327.2178600619325,1.5740050647173405,0.0488775435800691,0.3700452619081688,164.61177165343685,12.142781581196065,83.07113744008613,0.9359489239007311,10.745273386258289,0.22,0.0483760683760683,599.7922562020954,127.9761403508772,130.27952829924985,12,240.55,220.39,200.125,177.26,5.390000000000001,-28.230000000000004,16,1683.243166441683,221.74054555405024,5,70.81575607206376,8.861426527295366,145.62794169767596,0.791589677367531,0.039697035707851,0.2574506182838477,123.8072245702979,18.21017736755525,71.57239884506637,0.5072538860103627,0.5827777777777777,151.46501411217048,-10.0125,30.46050013952496,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142851
20190131_sample_1,0.4142075910985976,82,524.33,1098.81,362.71625,893.6242499999998,105.87000000000003,16.870000000000005,86,16115.204801053267,1192.9135289577025,23,68.20676494110162,6.7328911949844645,594.680168799067,1.248617668276133,0.0061528461978033,0.2790442870840193,169.2136641627429,5.466100620974638,69.29227510710035,0.7789006107717934,11.293764688520756,0.33,0.0572916666666666,583.4527059668162,212.0451219512196,197.5736973412268,19,299.62,503.97,253.82750000000004,419.9425,132.77999999999997,-229.15,23,3510.128704701625,563.1625270174238,5,59.91936016019695,6.809342090182172,325.0110415958912,0.8331446233729759,0.000537006233837,0.2737323658837946,131.6799389900897,14.126031036516132,60.02469308540224,0.4149017606532278,0.6303658536585366,370.6397254747527,-36.88684210526315,102.34619217726468,5,0.2,0.0,0.8,0.0,0.1053605156578263,0.0606246218164348,0.0,0.1944444444444437
20190131_sample_3,0.3085331193660927,275,397.86,555.29,247.2425,417.0089999999999,86.4,29.430000000000007,281,21031.526628430765,747.6174565041656,26,66.34582270479633,8.433483207988264,242.1350698929088,0.8605975533311726,0.0003915446625155,0.1288677754189988,179.27529651869762,1.732237105821664,73.93479811962351,0.8575418994413407,13.387032753136443,0.55,0.0642805755395683,345.4860396600708,102.49810909090913,95.76944918855392,15,245.95,349.48,182.068,245.368,31.569999999999997,-127.29999999999998,28,3014.9336354309394,272.7994570335632,5,65.17352100577604,9.769540818447307,203.41317216167317,0.6606891348732749,0.0275447809797258,0.1744833631085625,139.71845688498178,14.467510593638249,56.34974229423384,0.4498239436619718,0.4141666666666665,242.0669330990914,-23.888,45.55716324209253,14,0.2142857142857142,0.1428571428571428,0.6428571428571429,0.0,0.0,0.0840831172105414,0.0173917427118692,0.4720893141945768
20190131_sample_5,0.193857020128669,95,488.09,417.54,333.496,211.70624999999995,2.25,-113.44,100,12217.530555605168,804.4257115686249,19,73.84865852975183,9.801811456164966,283.7545314410652,1.2716464037010682,0.0115873544964113,0.305535685452991,164.88182390242102,12.801824456561462,76.2953327177169,0.7926752703174049,9.543157144991666,0.37,0.054051282051282,266.72746802682326,51.20221052631579,51.31658412923176,7,373.2000000000001,357.08,288.145,301.53,21.099999999999994,98.2,13,2004.9765871133463,293.04388042507,3,57.01379251297597,5.198702886206708,293.04388042507014,0.5244902740065591,0.0477008020561528,0.1683334241473965,80.16415514154691,20.808960537628725,46.22032424689062,0.5720802919708029,0.7523684210526317,236.361982137568,0.8157142857142861,24.506105278447805,7,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.1126731625041128,0.0360399364831968,0.0,0.0,0.825688073394495
20190131_sample_6,0.1715777182498798,206,629.25,651.98,450.9759999999999,364.96525,23.269999999999985,-278.93999999999994,209,15119.37829550743,756.2514580429531,18,76.79251165581832,9.62317458398922,335.91451051088086,1.3367286658044235,0.0,0.1468183916234498,177.83981796075142,10.290143095955903,78.20032496430619,0.8623252717994231,8.118445090329303,0.33,0.0450481927710843,469.0189016446992,65.25621359223301,74.44926544613413,19,197.89,237.59,160.82874999999996,176.34625,34.19000000000001,64.55,25,2138.9541671613792,223.1287094019884,10,67.18799621222618,9.797622177068073,172.17002173752502,1.7001602104387576,0.0166441530419691,0.1824635526718994,140.52224726364037,5.255708091892766,63.89897977691044,0.696192384769539,0.2569767441860465,161.1250511248949,40.36,34.86874697762272,7,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.0,0.2849315068493148
20190201_sample_2,0.1505783805345034,371,476.25,501.14,312.3725,202.055,75.02999999999997,-253.6,381,18754.26129048465,2089.803345534349,45,100.94572014321908,10.613146344606504,207.36641315759,1.258022716233198,0.0,0.1522642702945065,177.56308316156446,4.250077937435793,88.05995278114814,0.4509967123059636,7.368639465873592,0.22,0.0473603723404255,378.4826359293118,-7.271159029649602,57.81571661646148,1,39.01,59.12,34.73174999999999,56.89225,13.39,2.8200000000000003,3,131.1528662614183,49.29701142606589,1,62.689624482692594,13.458443066970652,49.29701142606591,0.3040511716695833,0.1969474592070542,0.240395526112131,,,,0.4121621621621621,0.515,40.48437105847144,0.0,0.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.4634146341463414
20190201_sample_3,0.1457965221253463,127,606.77,581.36,403.5755,305.64,1.6299999999999957,-271.36,131,15353.26051456518,915.5209819057968,20,66.76033907851152,7.524922214589024,473.4873133081381,1.2799458106884072,0.0069910320361174,0.1965419835178081,169.6177626126786,13.7336724162159,79.0734139033155,0.6059899977267561,11.521560645072988,0.145,0.0535658914728682,445.6878473775116,23.79307086614174,47.22325418942528,10,354.14,266.17,313.7299999999999,224.868,94.46,-7.189999999999998,13,1670.0615758951085,285.91607177950743,5,59.25789561923633,6.2179624861490055,285.9160717795073,0.7041108105066599,0.0577615842252804,0.196697153740211,125.29999787687156,12.150178177511297,46.41240349111095,0.5248796147672552,0.5200000000000002,225.6025321223146,-17.118,32.26198437790212,4,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.3988795518207281
20190201_sample_4,0.4667178402803927,196,663.7,262.35,470.66100000000006,184.38050000000007,22.19999999999999,166.81,200,10371.881503892178,945.1812895221632,26,92.8043873976628,11.279091431734589,233.92552636944563,1.4407887028793191,0.0,0.1680490138389216,173.10958479497265,13.388278448617314,89.79714893515236,0.9423936936254074,10.383184619478584,0.255,0.0771590909090908,385.267221289328,82.54755102040816,43.44551731323663,3,140.8,135.67000000000002,128.03125,121.92875,35.459999999999994,61.67,6,425.60229818701663,125.49482463193384,2,59.74006184170488,7.167323249216794,104.17894624329251,0.4516574501306075,0.0020025893268357,0.1397840219061323,83.3336611375706,18.164460539039947,50.74906083830528,0.8508403361344538,0.64375,100.96856243405668,7.296666666666667,9.204101742641098,4,0.25,0.25,0.5,0.0540672212702757,0.4653632496892333,0.0,0.0,1.5185185185185186
20190204_sample_1,0.4636414626644231,92,764.44,1015.78,514.28,744.03,284.24,240.55999999999997,98,20252.36916220058,1573.5660943074647,22,72.14585548025867,6.5802654462907935,784.0706006745612,1.3193766735934294,0.0083592219196253,0.4130520389811366,170.56730841031387,11.013251615344524,81.13777381554763,0.6620344396012257,11.083113219314178,0.075,0.0673421052631579,640.7030202051493,187.9306521739132,253.619543551584,9,205.23,150.8,182.97,118.885,44.73,-20.64,13,1188.562224446123,185.84951578952163,4,64.81538388653213,5.913593314643404,148.7040003137585,0.9943114622253127,0.0,0.2128737315187475,131.12253919288702,26.70832525130109,79.74814131546344,0.5289747399702823,0.6838095238095236,125.0579181819368,-3.3999999999999995,32.994165814243246,5,0.4,0.2,0.4,0.0,0.2305236586118323,0.2113090936672069,0.0,0.5664488017429193
