cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20180904_sample_9,1.11111111,1.11111111,0.92592593,0.18518519,0.74074074,1.85185185,1.48148148,0.55555556,0.92592593,0.37037037,0.92592593,1.11111111,0.92592593,1.66666667,0.92592593,1.85185185,1.11111111,0.74074074,0.37037037,1.11111111
20180905_sample_2,0.40816327,0.81632653,0.0,1.02040816,1.42857143,0.81632653,1.02040816,1.2244898,1.2244898,1.42857143,1.2244898,0.40816327,1.2244898,0.81632653,1.02040816,1.42857143,1.2244898,1.2244898,2.04081633,0.0
20180911_sample_3,0.0,0.0,4.0,1.33333333,0.0,0.0,2.66666667,2.66666667,1.33333333,2.66666667,1.33333333,1.33333333,0.0,1.33333333,1.33333333,0.0,0.0,0.0,0.0,0.0
20180911_sample_6,0.0,0.0,0.0,6.66666667,0.0,0.0,0.0,0.0,0.0,0.0,6.66666667,0.0,0.0,6.66666667,0.0,0.0,0.0,0.0,0.0,0.0
20180912_sample_2,0.75,0.25,1.0,1.125,1.125,1.125,1.0,0.75,1.0,0.5,0.75,1.0,1.25,1.625,1.0,1.5,1.375,0.5,0.75,1.625
20180918_sample_1,1.95121951,1.95121951,1.46341463,1.46341463,1.95121951,0.48780488,0.0,0.0,0.48780488,1.46341463,0.48780488,0.48780488,0.48780488,0.97560976,1.46341463,0.48780488,0.0,1.46341463,0.48780488,2.43902439
20180918_sample_2,1.70212766,1.27659574,0.42553191,1.27659574,1.70212766,0.85106383,0.85106383,0.0,2.12765957,0.85106383,0.42553191,0.85106383,1.27659574,0.42553191,0.42553191,2.12765957,1.27659574,0.42553191,1.27659574,0.42553191
20180920_sample_2,1.27659574,1.70212766,1.27659574,0.42553191,1.70212766,1.27659574,0.42553191,0.85106383,1.70212766,0.85106383,2.12765957,0.0,0.0,0.85106383,1.27659574,0.42553191,0.85106383,0.85106383,0.0,2.12765957
20180920_sample_4,0.78431373,1.96078431,2.74509804,0.39215686,0.78431373,0.0,1.96078431,1.56862745,1.17647059,2.35294118,1.56862745,0.78431373,0.39215686,0.78431373,0.39215686,0.39215686,0.78431373,0.0,0.39215686,0.78431373
20180925_sample_9,1.35135135,1.08108108,0.81081081,0.27027027,1.62162162,1.08108108,2.16216216,0.27027027,1.35135135,1.35135135,0.81081081,1.35135135,0.81081081,1.35135135,0.54054054,0.81081081,0.81081081,0.54054054,1.08108108,0.54054054
20180926_sample_1,1.32075472,0.75471698,0.56603774,1.13207547,0.75471698,0.94339623,0.56603774,0.75471698,1.69811321,1.69811321,1.88679245,0.56603774,0.75471698,1.32075472,0.37735849,0.75471698,0.94339623,1.13207547,0.94339623,1.13207547
