specimen_id,met_type
821563005,Pvalb-MET-2
821771315,Sst-MET-6
821774757,Sst-MET-5
821788449,Sst-MET-5
821907565,Pvalb-MET-4
823253200,Sst-MET-2
823681740,Lamp5-MET-1
823702943,Pvalb-MET-5
823719680,Lamp5-MET-1
823830483,Pvalb-MET-4
825269133,Pvalb-MET-3
825522397,Lamp5-MET-1
825549510,Lamp5-MET-1
826712572,Lamp5-MET-1
827347629,Lamp5-MET-1
827447865,Lamp5-MET-1
827524052,Lamp5-MET-1
827573535,Lamp5-MET-1
828803869,Lamp5-MET-1
829185764,Vip-MET-4
829195312,Vip-MET-5
830434392,Sncg-MET-1
836844418,Vip-MET-1
837594867,Pvalb-MET-4
841718359,Sst-MET-3
841834394,Sst-MET-3
842841654,Sst-MET-2
842844583,Sst-MET-3
843366621,Sst-MET-1
844757902,Sst-MET-2
844870606,Vip-MET-1
844908436,Vip-MET-1
844965212,Sst-MET-10
846902552,Sst-MET-12
847083836,Sst-MET-4
849535368,Sst-MET-13
849607183,Sst-MET-7
851016910,Sst-MET-3
853882442,Pvalb-MET-2
855357345,Sncg-MET-2
855791035,Sncg-MET-1
855995114,Sncg-MET-1
857223181,Sncg-MET-1
857296784,Sncg-MET-1
859655391,Sncg-MET-1
861736319,Sncg-MET-1
861765455,Sncg-MET-1
861769605,Sncg-MET-1
862596299,Sncg-MET-1
863585604,Sst-MET-6
863604233,Sst-MET-13
863631899,Sst-MET-13
866267921,Lamp5-MET-1
870661094,Lamp5-MET-2
872026690,Pvalb-MET-2
872248529,Sst-MET-2
873854264,Sst-MET-1
886335606,Pvalb-MET-4
887048277,Pvalb-MET-2
887288382,Vip-MET-1
888108541,Lamp5-MET-1
889183564,Lamp5-MET-1
889235347,Lamp5-MET-1
894308422,Pvalb-MET-4
898697809,Vip-MET-4
898703349,Vip-MET-4
904023586,Pvalb-MET-2
913928092,Sncg-MET-1
858255768,Sncg-MET-1
871782504,Pvalb-MET-3
643021973,Vip-MET-4
652958762,Sst-MET-8
657185355,Vip-MET-2
657675492,Sst-MET-3
674126167,Pvalb-MET-2
680048186,Pvalb-MET-1
689211404,Pvalb-MET-1
693265371,Vip-MET-2
695316536,Vip-MET-2
699495755,Pvalb-MET-4
720318238,Sst-MET-7
738043822,Vip-MET-5
739539292,Sst-MET-4
739792780,Sst-MET-12
740890186,Pvalb-MET-4
766591236,Sst-MET-9
780005520,Sst-MET-7
887156236,Lamp5-MET-1
892547707,Pvalb-MET-4
935032340,Sncg-MET-1
941794256,Sncg-MET-1
941802910,Sncg-MET-1
941824942,Sncg-MET-3
941846857,Sncg-MET-1
941868688,Sncg-MET-1
941935110,Sncg-MET-1
946190769,Sncg-MET-1
958930508,Pvalb-MET-2
992268582,Pvalb-MET-5
992386952,Sncg-MET-1
992830261,Sncg-MET-3
993245688,Sncg-MET-1
993283588,Sncg-MET-1
